Name,Collection,Category,Color Name,Color ID,LRV,h,R,G,B,HEX
140-C5,,,Mannered Gold,SW6130,,,193,151,99,C19763
140-C6,,,Chamois,SW6131,,,173,132,81,AD8451
140-C7,,,Relic Bronze,SW6132,,,144,106,58,906A3A
263-C5,,,Muslin,SW6133,,,234,223,201,EADFC9
208-C1,,,Netsuke,SW6134,,,224,207,176,E0CFB0
208-C2,,,Ecru,SW6135,,,208,186,148,D0BA94
208-C3,,,Harmonic Tan,SW6136,,,198,176,138,C6B08A
208-C5,,,Burlap,SW6137,,,172,149,113,AC9571
208-C6,,,Artifact,SW6138,,,154,129,94,9A815E
208-C7,,,Mossy Gold,SW6139,,,127,103,67,7F6743
266-C3,,,Moderate White,SW6140,,,233,222,207,E9DECF
206-C1,,,Softer Tan,SW6141,,,218,202,178,DACAB2
206-C2,,,Macadamia,SW6142,,,204,183,155,CCB79B
206-C3,,,Basket Beige,SW6143,,,192,169,139,C0A98B
206-C5,,,Dapper Tan,SW6144,,,148,127,101,947F65
206-C6,,,Thatch Brown,SW6145,,,134,112,87,867057
206-C7,,,Umber,SW6146,,,110,84,60,6E543C
266-C2,,,Panda White,SW6147,,,234,226,212,EAE2D4
207-C1,,,Wool Skein,SW6148,,,217,207,186,D9CFBA
207-C2,,,Relaxed Khaki,SW6149,,,200,187,163,C8BBA3
207-C3,,,Universal Khaki,SW6150,,,184,169,146,B8A992
207-C5,,,Quiver Tan,SW6151,,,142,127,106,8E7F6A
207-C6,,,Superior Bronze,SW6152,,,120,105,87,786957
207-C7,,,Protg Bronze,SW6153,,,102,84,62,66543E
263-C2,,,Nacre,SW6154,,,232,226,212,E8E2D4
210-C1,,,Rice Grain,SW6155,,,219,208,185,DBD0B9
210-C2,,,Ramie,SW6156,,,205,189,162,CDBDA2
210-C3,,,Favorite Tan,SW6157,,,193,174,145,C1AE91
210-C5,,,Sawdust,SW6158,,,153,137,112,998970
210-C6,,,High Tea,SW6159,,,126,111,89,7E6F59
210-C7,,,Best Bronze,SW6160,,,93,81,62,5D513E
270-C1,,,Nonchalant White,SW6161,,,222,221,209,DEDDD1
212-C1,,,Ancient Marble,SW6162,,,209,204,185,D1CCB9
212-C2,,,Grassland,SW6163,,,193,188,167,C1BCA7
